His rheumy eyes began to cloud.	A sus ojos rheumy comenzó a nube.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
That's what happened at Xerox...	Eso es lo que ocurrió en Xerox...	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Even my Communist friends always had impeccable manners.	Incluso mis amigos comunistas siempre impecables modales.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"It's a paper tiger, an Army of barracks, buildings and bombs without enough trained soldiers able to accomplish the mission," Panetta said in his opening remarks at the Pentagon.	"Es un tigre de papel, un ejército de cuarteles, edificios y bombas sin suficientes soldados entrenados capaz de llevar a cabo la misión", Panetta dijo en su discurso de apertura en el Pentágono.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
You will be getting to know these people very well in Mr. Englund's novelistic telling, and this dramatis personae will function as your GPS, a beacon during those few moments when, like one of his men and women, you are confused and bereft in the fog of war.	Usted va a conocer a estas personas muy bien el Sr. Englund novelistic diciendo, y este dramatis personae funcionará como su GPS, un faro, durante unos instantes cuando, como uno de sus hombres y mujeres, ustedes son confusos y carente de la niebla de la guerra.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Around 30 survivors and victims" relatives attended the hearing.	Alrededor de 30 sobrevivientes y víctimas "familiares asistieron a la audiencia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Substitute coffee, fake aluminum, imitation rubber, paper bandages, wooden buttons.	"Sustituir el café, imitación aluminio, imitación de caucho, papel vendajes, botones de madera".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I walked back to my rooms a disconsolate figure.	Caminaba de regreso a mi habitaciones una cifra desconsolada.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
This is good business for us.	Este es un buen negocio para nosotros.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It delayed the debut to add more thrust after customers demanded more payload and range.	Se retrasó el debut de añadir más impulso después de clientes exigió más carga y el alcance.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mexico has been performing well economically under the outgoing administration of Felipe Calderon, but the country is in the grip of a drug war, which has already claimed an estimated 60,000 lives in six years.	México ha venido desempeñando bien económicamente bajo la administración saliente de Felipe Calderón, pero el país está al borde de una guerra contra las drogas, que ya se ha cobrado unas 60.000 vidas en seis años.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The Asian Development Bank has called for India and China to be ready to help rescue the eurozone from its sovereign debt crisis to avoid a long-term downturn that will stunt the growth of Asian economies.	El Banco Asiático de Desarrollo ha pedido a la India y China para estar preparados para ayudar a rescatar a la eurozona desde la crisis de la deuda soberana para evitar una recesión a largo plazo que va a detener el crecimiento de las economías asiáticas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
ADB urges Asia to help rescue eurozone	El BAD insta a Asia para ayudar a rescatar de la eurozona	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Some would look at them with a sense of awe because they faced down insurgents and traveled to exotic places.	Algunos estudiarlas con una sensación de temor porque se enfrentan a los insurgentes y viajó a lugares exóticos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But Facebook's users know the site is watching them, whether they like it or not - the trade off for being able to play Scrabble with a friend thousands of miles away is allowing the site to mine your personal information.	Pero los usuarios de Facebook saber el sitio está observando con ellos, les guste o no, el comercio libre para poder jugar Scrabble con un amigo miles de kilómetros es permitir que el sitio a mina su información personal.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Contracting personnel would be cut, resulting in delays in the contracts and the contract oversight that support the war.	El personal de contratación sería reducido, lo que provocó retrasos en los contratos y el contrato de supervisión que apoyan la guerra.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"The most grotesque expression of this can be seen in the trade of gonococcal pus, which soldiers buy and smear into their genitals in the hope of ending up in hospital," he writes.	"La más grotesca expresión de ello puede verse en el comercio de gonococcal pus, los soldados que comprar y desprestigio en sus genitales, con la esperanza de acabar en el hospital", escribe.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But the Texas native brushed aside her concern.	Pero el nativo de Texas ningunea su preocupación.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But on the same day that bill failed in the House, the chamber also voted down a measure that would have cut funding for American operations in Libya.	Pero el mismo día en que el proyecto fracasó en la Cámara, la cámara también votaron en contra de una medida que habría reducido la financiación de las operaciones estadounidenses en Libia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It is relying on studies showing that if people have not started smoking by age 26 there is a 99% chance they will never take it up.	Se confía en estudios que demuestran que si la gente no han comenzado a fumar por 26 años hay un 99% de posibilidades de que nunca.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In the end, one officer and one protester were hospitalized.	En la final, un oficial y un manifestante fueron hospitalizados.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Above all, on Israel's southern flank, the rise of the Muslim Brotherhood under President Muhammad Morsi in Egypt, by far the most populous and pivotal of Arab countries, has changed the region's balance.	Por encima de todo, en el flanco sur de Israel, el aumento de la Hermandad Musulmana bajo el Presidente Mohamed Morsi en Egipto, el más poblado y crucial de los países árabes, ha cambiado el equilibrio de la región.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mentors who should be teaching the opposite are sending a message that lying and cheating are acceptable.	Mentores que deberían enseñar lo contrario están enviando un mensaje que mentir, engañar son aceptables.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
What score do you have for the best fish up there in the mountains Thor-Juergen?	¿Qué sentido tiene para el mejor pescado ahí arriba en las montañas Thor-Juergen?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It's to the United States.	Es a los Estados Unidos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Professor Eastwood agreed.	El profesor Eastwood.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"The alleged harms are incident to plaintiffs" military service," the documents say.	"El presunto incidente se perjudica a los demandantes" el servicio militar ", dicen los documentos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The scale includes questions like, "Many things I have to do are repetitive and monotonous," and "I have so many interests, I don't have time to do everything."	La escala incluye preguntas como, "Muchas cosas que tengo que hacer son repetitivos y monótono" y "tengo tantos intereses, no tengo tiempo para hacerlo todo".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Sometimes no, because in its extreme it can lead people to take absurd physical risks, gamble or indulge in substance abuse as a way to ease it, research shows.	A veces no, porque en su extrema puede llevar a la gente a tomar riesgos físicos absurda, apuesta o caer en la toxicomanía como una manera de aliviar, la investigación muestra.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But the Texas native brushed aside her concern.	Pero la nativa de Texas ignoró su presentimiento.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In a Constantly Plugged-In World, It's Not All Bad to Be Bored	En un mundo Constantly Plugged-In, It 's Not All Bad to Be Bored	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I just ignore them.	Me ignorarlas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"When you talk about your service, you need to counter the negative impressions," Cancian recalled telling his sons.	"Cuando se habla de su servicio, se necesita para contrarrestar la impresión negativa," Cancian recordó a sus hijos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
And they are looking for guidance on how to set up a system of licenses for production, manufacturing, distribution and sales - all by a deadline of Dec. 1, 2013.	Y están buscando orientación sobre cómo establecer un sistema de licencias para la producción, fabricación, distribución y venta, todo por un plazo de Dic. 1, 2013.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Not on account of my rather outré name, or the fact that I came from a private school.	Más bien no por causa de mi nombre outré, o el hecho de que yo venía de una escuela privada.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Smoking warnings and diseased body parts emblazoned on dull green boxes that are the same for all tobacco brands	Las advertencias de fumar y partes del cuerpo enfermo estampado en aburrido cajas verdes que son las mismas para todas las marcas de tabaco	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Rajat Nag, the managing director of the Manila-based ADB, said the world's two fastest-growing large economies had to "do all they can" to speed the recovery of the the currency bloc either through the International Monetary Fund or direct bilateral arrangements.	Rajat asentamiento, el director gerente de la Manila-based BAD, dijo que los dos grandes economías de más rápido crecimiento del mundo tuvo que "hacer todo lo posible" para acelerar la recuperación de la moneda del bloque a través del Fondo Monetario Internacional o acuerdos bilaterales directas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Barricades were set up at Cortlandt Street, a block north of the park, and at Pine Street, a block south.	Barricadas fueron establecidos en la calle Cortlandt, un bloque norte del parque, y en Pine Street, un bloque sur.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Hatred of the Conservative Party was at its most febrile.	El odio del Partido Conservador estaba en su más febril.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
If you can avoid passing it under your nose, it is not bad - not unlike a slice of sushi that has been on rather a long bus journey.	Si usted puede evitar trasmitirlo bajo su nariz, no es mala, no a diferencia de una rebanada de sushi que ha sido más bien un largo viaje en autobús.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Detecting lies, or "lie spotting," is an essential skill for everyone to acquire, for both personal and professional reasons.	La detección de mentiras, o "mentira planespotting", es una habilidad esencial para todos a adquirir, tanto por motivos personales y profesionales.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"This is a real path forward," Rep. Lee Terry, a Republican from Nebraska, told Fox News.	"Este es un verdadero camino hacia adelante", Lee, Terry, republicano de Nebraska, dijo a Fox News.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The judge, Army Col. Denise Lind, also asked Manning why he didn't complain about his treatment during a January 2011 meeting with a board examining the suicidal thoughts he expressed in a form months earlier.	La jueza, Cnel. Denise Lind del ejército, también preguntó a Manning por qué no se quejó del trato recibido durante una reunión en enero de 2011 con una junta que examinó las ideas suicidas que expresó en un impreso meses antes.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Police departments have stopped charging adults 21 years and older for small-scale possession that will be legally sanctioned once the laws take effect in the coming weeks.	Los departamentos de policía han dejado de cobrar a los adultos mayores de 21 años y por posesión de pequeña escala que serán sancionados judicialmente una vez que las leyes en vigor en las próximas semanas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
If not for computer science, they would be doing amazing things in other fields.	Si no hubiera sido por la informática, estarían haciendo cosas sorprendentes en otros campos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It points out that while there were no layoffs on Staten Island and few layoffs in schools in the Upper East Side or TriBeCa, 17 school aides lost their jobs in District 23 in Brownsville, Brooklyn, and 46 were let go in Districts 8 and 9 in the South Bronx.	Señala que, si bien no hubo despidos en Staten Island y pocos los despidos en las escuelas en el Upper East Side o TriBeCa, 17 escuela ayudantes perdieron sus empleos en el distrito 23 en Brownsville, Brooklyn, y 46 fueron en los Distritos 8 y 9 en el South Bronx.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In a forecast released Monday, the Chicago company estimates that airlines in the Middle East over the next 20 years will need 2,520 airplanes worth $450 billion.	En un pronóstico publicado el lunes, la compañía de Chicago calcula que las compañías aéreas en el Oriente Medio durante los próximos 20 años será necesario han incluido unas 2.520 aviones por valor de 450 millones de dólares.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Exhausted by my frequent trips to London, my emotional resistance was deteriorating.	Agotados por mis frecuentes viajes a Londres, mi resistencia emocional se estaba deteriorando.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I thought I was going to go into labor - I ran screaming from the courtroom.	Pensé que iba a entrar en la mano de obra, me corrieron gritando desde la sala.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It's all right for us - and our children - to be bored on occasion, they say.	Está bien para nosotros, y nuestros hijos - que se aburren en ocasión, dicen.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I wish I had listened to my instincts.	"Ojalá yo había escuchado a mis instintos".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mr Nag said that the eurozone crisis threatened "significant knock-on effects" across Asia.	Señor asentamiento dijo que la crisis de la eurozona amenazados "importantes repercusiones" en toda Asia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"My world just shrink to Camp Arafjon, to that cage," Manning said Thursday.	"Mi mundo sólo reducir a Camp Arafjon, a esa jaula", Manning dijo el jueves.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
From those positions, the police were seen expanding the perimeter even farther outward from Zuccotti Park.	A partir de esas posiciones, la policía fue visto ampliar el perímetro incluso más en Zuccotti Park.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
And two people chained themselves to trees, Mr. Kelly said.	Y dos personas se encadenaron a árboles, dijo el Sr. Kelly.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Lugar's spokesman said Monday that he had not seen the final version of the new bill yet.	El portavoz de Lugar dijo el lunes que no había visto la versión final de la nueva ley todavía.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
That list included the F35 Joint Strike Fighter, a planned new bomber, the next-generation ballistic submarine, the new littoral combat ship and the new ground combat vehicle the Army and Marines need to replace the humvee.	Esa lista incluye la F35 Joint Strike Fighter, un nuevo atacante, la próxima generación de submarinos balísticos, los nuevos buques de combate litorales y los nuevos vehículos terrestres de combate del Ejército y los infantes de necesidad de sustituir el humvee.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Growing up in Central California, I had been called a "Mexican" my entire life.	Crecer en California Central, había sido llamado "mexicano" toda mi vida.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
On cue, several hundred soldiers, sailors, airmen and Marines strode into position around him.	En fila, varios cientos de soldados, marinos, aviadores y marines desfilaron en torno a él.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
On Facebook, it's impossible to know how much of a user's profile information and wall posts are true.	En Facebook, es imposible saber cuánto de un perfil del usuario de la información y la pared puestos son ciertas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
If our families hadn't failed in Mexico, they wouldn't have left.	Si nuestras familias no hubieran fracasado en México, no se habrían marchado.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Research shows that kids who are allowed to fidget learn more and retain more information than those who are forced to sit still," Professor Fenske said.	"La investigación muestra que los niños que están autorizados a enredar aprender más y retener más información que aquellos que se ven obligados a sentarse todavía", dijo el profesor Fenske.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Interrogators often falsely signal that an interview is over just to look for that post-interview relief.	A menudo los interrogadores falsamente señal de que una entrevista es más justo para buscar que post-interview alivio.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In effect, it invites aggression..	En efecto, invita a la agresión.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The response has been complicated even in places like rural Mesa County, where voters rejected the marijuana initiative.	La respuesta ha sido complicado incluso en lugares como el rural del condado de Mesa, donde los votantes rechazaron la iniciativa de marihuana.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Israelis too should look to the longer term.	Los israelíes también debería mirar a largo plazo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Despite some high-profile arrests of medical marijuana patients and sellers, the federal government has mostly allowed medical marijuana businesses to operate in Colorado, Washington and 16 other states.	A pesar de algunos arrestos de alto perfil de marihuana medicinal y vendedores, el gobierno federal ha permitido principalmente marihuana médica de las empresas que operan en Colorado, Washington y otros 16 estados.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
WikiLeaks has never confirmed that Manning was the source of its information.	WikiLeaks nunca ha confirmado que Manning fue la fuente de su información.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
If they were, they arguably fell under code's Canon 4C, which states, "A judge may attend fund-raising events of law-related and other organizations although the judge may not be a speaker, a guest of honor, or featured on the program of such an event."	Si fueran, que posiblemente cayó bajo el código canónico 4C, que dice "Un juez puede asistir a eventos de recaudación de fondos de law-related y otras organizaciones, aunque el juez no puede ser un orador, como invitado de honor, o figura en el programa de este evento".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
He loathed the place as provincial and petty, and for its adherence to the Marxist-determinist view of history.	Él ha desestimado el lugar como provinciales y mezquinos, y por su adhesión a la visión marxista-un determinismo de la historia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Only a generation ago, thousands of Norwegians were forced to leave their country in search of work, emigrating mainly to the US.	Sólo hace una generación, miles de noruegos se vieron obligados a abandonar su país en busca de trabajo, emigrar principalmente a los Estados Unidos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It finally looks like Republicans and Democrats on Capitol Hill are ready to agree on something related to the uprising in Libya.	Finalmente se parece a republicanos y demócratas en Capitol Hill están dispuestos a ponerse de acuerdo en algo relacionado con el levantamiento en Libia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The pace pales in comparison to that of the early 1990s, when members regularly offered more than 150 amendments every two years, according to numbers provided by the Senate Library.	El ritmo palidece en comparación con la de principios de los años noventa, cuando los miembros regularmente ofrece más de 150 enmiendas cada dos años, según cifras facilitadas por la Biblioteca del Senado.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Our existence is, as they see it, all about failure.	Nuestra existencia es, a su juicio, un verdadero fracaso.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
This is a moving book, almost from the start.	Este es un libro, casi desde el principio.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
There is clapping, laughter.	Hay de aplaudir, risas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
On a patch of wasteland by a vast landfill site, the bodies of dozens of murdered women have been dumped over the past two years alone.	En un trozo de terreno baldío junto a un gran vertedero se han abandonado los cuerpos de decenas de mujeres asesinadas solamente en los últimos dos años.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Boeing gets record $18-billion jetliner order	Boeing recibe récord de vuelo 18-billion dólares para	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Manning said that he told the officer that he could have used the waistband of his underwear or his flip-flops to hurt himself but hadn't done so.	La tripulación dijo que dijo al oficial que podría haber utilizado la cintura de su ropa interior o sus chanclas hacer daño a sí mismo, pero no había hecho.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Beat up but not beaten," Giffords speaks in first TV interview since shooting	"Pero no agredieron a golpes", Giffords habla en primera entrevista por televisión desde el tiroteo	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In 2010 there were 3,158 sexual assaults reported, according to the Department of Defense's Sexual Assault Prevention and Response Office.	En 2010 hubo 3,158 agresiones sexuales denunciadas, según el Departamento de Defensa de la agresión sexual de la Oficina de Prevención y Respuesta.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Can there ever be a lasting peace between Arabs and Jews in the Middle East?	Jamás podrá haber una paz duradera entre árabes y judíos en Oriente Medio?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Yes, ran, because I had been subject to systematic bullying and intimidation.	Sí, escapé, porque había sido objeto de acoso e intimidación sistemática.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Tales of cheating on school and college tests are rife.	Las historias de fraudes en la escuela y colegio pruebas son moneda corriente.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But in the evening, it is more of that smelly fish.	Pero en la noche, es más de que los peces maloliente.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The trouble is that it has been defined, and discussed, in many different ways, said John D. Eastwood, an associate professor of psychology at York University in Ontario, Canada.	El problema es que se ha definido, y discutido, en muchas maneras diferentes, dijo John D. Eastwood, profesor asociado de psicología en la Universidad de York en Ontario, Canadá.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The operation on Tuesday involved officers from various police units, including boroughwide task forces - scores of mobile officers who are usually used to flood high-crime neighborhoods.	La operación el martes involucrados funcionarios de distintas dependencias policiales entre boroughwide fuerzas de tarea, decenas de agentes de móviles que normalmente son utilizadas para inundar high-crime vecindarios.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I told my father I hated Oxford and why.	Le dije a mi padre me odiaba a Oxford y por qué.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Such is the institutionalised and increasing hatred of Tory students at Oxford that last week a group of them demanded the same equal-rights protection as gays, disabled people and ethnic minorities.	Tal es el odio creciente e institucionalizada de estudiantes conservadores en Oxford, que la semana pasada un grupo de ellos exigieron la misma igualdad de protección de los derechos de los homosexuales, los discapacitados y las minorías étnicas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In northern Colorado's Weld County, the district attorney, Ken Buck, represents a stricter view.	En el norte del condado de instalación de Colorado, el fiscal de distrito, Ken Buck, representa una visión más estrictas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The pictures don't affect me.	Las fotos no me afectan.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Anyone suspected of being a Tory is picked on.	Cualquier persona sospechosa de ser un conservador se recoge.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In the 111th Congress, lawmakers offered 77 such amendments, and they introduced 66 in the 110th.	111 en el Congreso, los legisladores ofreció 77 esas enmiendas, y se introdujo 66 en la 110ª.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Will the new measure earn the full support of the Foreign Relations panel, or will it split lawmakers like the June bill did?	La nueva medida ganarse el apoyo total del panel de Relaciones Exteriores, o se dividió a los legisladores como el proyecto de ley de junio?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
